customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
DK49336,Arizona,4809,No,Basic,College,2011-02-18,Employed,M,48029,Suburban,Married,61,7,52,0,9,Corporate Auto,Corporate L3,Offer3,Agent,292,Four-Door Car,Medsize,A,2
KX64629,California,2228,No,Basic,College,2011-01-18,Unemployed,F,0,Suburban,Single,64,3,26,0,1,Personal Auto,Personal L3,Offer4,Call Center,744,Four-Door Car,Medsize,A,1
LZ68649,Washington,14947,No,Basic,Bachelor,2011-02-10,Employed,M,22139,Suburban,Single,100,34,31,0,2,Personal Auto,Personal L3,Offer3,Call Center,480,SUV,Medsize,A,2
XL78013,Oregon,22332,Yes,Extended,College,2011-01-11,Employed,M,49078,Suburban,Single,97,10,3,0,2,Corporate Auto,Corporate L3,Offer2,Branch,484,Four-Door Car,Medsize,A,1
QA50777,Oregon,9025,No,Premium,Bachelor,2011-01-17,Medical Leave,F,23675,Suburban,Married,117,15,31,0,7,Personal Auto,Personal L2,Offer1,Branch,707,Four-Door Car,Medsize,A,1
HO81102,California,4745,No,Basic,High School or Below,2011-02-14,Employed,M,50549,Suburban,Divorced,61,2,73,0,7,Personal Auto,Personal L3,Offer1,Agent,292,Four-Door Car,Medsize,A,2
IW72280,California,5035,No,Basic,Doctor,2011-02-14,Employed,F,37405,Urban,Married,63,8,99,3,4,Corporate Auto,Corporate L2,Offer2,Branch,287,Four-Door Car,Medsize,A,2
IH64929,California,4956,No,Basic,High School or Below,2011-02-24,Employed,M,87197,Urban,Single,63,35,45,0,3,Personal Auto,Personal L2,Offer2,Branch,247,Two-Door Car,Medsize,A,2
FM55990,California,5989,Yes,Premium,College,2011-01-19,Employed,M,66839,Suburban,Single,154,33,24,0,1,Personal Auto,Personal L1,Offer2,Branch,739,Luxury,Medsize,A,1
QX31376,Oregon,17114,No,Extended,Master,2011-01-04,Employed,F,70961,Suburban,Married,85,19,8,0,2,Corporate Auto,Corporate L3,Offer2,Agent,408,Four-Door Car,Small,A,1
HG93801,Arizona,5154,No,Extended,High School or Below,2011-01-02,Employed,M,82730,Urban,Married,127,13,31,0,1,Corporate Auto,Corporate L3,Offer2,Branch,442,SUV,Large,A,1
GE63585,California,2420,No,Basic,Bachelor,2011-02-07,Employed,M,31710,Urban,Divorced,62,5,29,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,199,Two-Door Car,Medsize,A,2
EO51920,Oregon,19955,No,Extended,High School or Below,2011-01-31,Employed,F,69096,Rural,Married,99,24,32,0,2,Corporate Auto,Corporate L3,Offer1,Agent,64,Four-Door Car,Medsize,A,1
